"img_number","date_posted","time_posted","day_of_week","num_people","includes_me","portrait_v_landscape","num_likes","date_number","month"
"1",1,"06-29-2016","3:35 AM","wednesday",1,0,"portrait",7,29,6
"2",2,"06-18-2016","23:44","saturday",3,1,"portrait",24,18,6
"3",3,"06-12-2016","13:22","sunday",2,1,"landscape",35,12,6
"4",4,"06-05-2016","19:12","sunday",2,1,"portrait",21,5,6
"5",5,"06-02-2016","3:21","thursday",2,1,"portrait",24,2,6
"6",6,"05-30-2016","20:25","monday",1,0,"portrait",12,30,5
"7",7,"05-30-2016","18:14","monday",0,0,"portrait",7,30,5
"8",8,"05-28-2016","12:02","saturday",2,1,"portrait",54,28,5
"9",9,"05-26-2016","33:29:00","thursday",0,0,"landscape",18,26,5
"10",10,"05-23-2016","3:55","monday",1,0,"landscape",17,23,5
"11",11,"05-19-2016","3:27","thursday",0,0,"portrait",14,19,5
"12",12,"05-15-2016","20:20","sunday",0,0,"landscape",24,15,5
"13",13,"04-28-2016","15:29","thursday",1,0,"portrait",9,28,4
"14",14,"04-24-2016","19:59","sunday",3,1,"portrait",14,24,4
"15",15,"04-22-2016","17:45","friday",0,0,"landscape",23,22,4
"16",16,"04-17-2016","4:19","sunday",4,1,"portrait",34,17,4
"17",17,"04-14-2016","17:35","thursday",2,1,"portrait",28,14,4
"18",18,"04-06-2016","3:24","wednesday",0,0,"portrait",18,6,4
"19",19,"03-30-2016","23:05","wednesday",0,0,"portrait",12,30,3
"20",20,"03-28-2016","14:08","monday",0,0,"portrait",11,28,3
"21",21,"03-26-2016","19:27","saturday",0,0,"portrait",21,26,3
"22",22,"03-17-2016","21:48","thursday",2,1,"portrait",15,17,3
"23",23,"03-15-2016","13:34","tuesday",0,0,"landscape",26,15,3
"24",24,"03-10-2016","19:55","thursday",2,1,"portrait",26,10,3
"25",25,"03-09-2016","3:24","wednesday",0,0,"landscape",26,9,3
"26",26,"03-06-2016","19:13","sunday",0,0,"landscape",10,6,3
"27",27,"03-05-2016","1:30","saturday",0,0,"portrait",18,5,3
"28",28,"02-27-2016","23:40","saturday",0,0,"portrait",15,27,2
"29",29,"02-26-2016","17:14","friday",0,0,"portrait",19,26,2
"30",30,"02-21-2016","0:41","sunday",4,1,"portrait",30,21,2
"31",31,"02-19-2016","18:41","friday",0,0,"portrait",18,19,2
"32",32,"02-15-2016","3:32","monday",1,0,"landscape",21,15,2
"33",33,"02-11-2016","14:03","thursday",2,0,"landscape",24,11,2
"34",34,"02-06-2016","22:33","saturday",1,1,"portrait",27,6,2
"35",35,"02-06-2016","19:38","saturday",0,0,"portrait",18,6,2
"36",36,"02-05-2016","2:32","friday",0,0,"portrait",19,5,2
"37",37,"01-22-2016","14:02","friday",3,1,"portrait",20,22,1
"38",38,"01-18-2016","23:13","monday",0,0,"portrait",16,18,1
"39",39,"01-16-2016","0:48","saturday",1,0,"portrait",13,16,1
"40",40,"01-10-2016","19:17","sunday",1,0,"portrait",17,10,1
"41",41,"01-09-2016","0:25","saturday",1,0,"landscape",16,9,1
"42",42,"01-04-2016","7:02","monday",2,0,"portrait",17,4,1
"43",43,"01-02-2016","17:23","saturday",5,1,"portrait",18,2,1
"44",44,"12-29-2015","7:16","tuesday",2,1,"portrait",19,29,12
"45",45,"12-27-2015","17:49","sunday",4,1,"portrait",12,27,12
"46",46,"12-24-2015","22:48","tuesday",5,1,"portrait",16,24,12
"47",47,"12-23-2015","21:58","wednesday",0,0,"landscape",10,23,12
"48",48,"12-22-2015","15:02","tuesday",0,0,"portrait",8,22,12
"49",49,"12-21-2015","17:40","monday",0,0,"landscape",12,21,12
"50",50,"12-20-2015","23:17","sunday",2,1,"portrait",16,20,12
"51",51,"12-13-2015","1:15","sunday",1,1,"portrait",38,13,12
"52",52,"12-06-2015","8:49","sunday",0,0,"portrait",7,6,12
"53",53,"12-05-2015","20:44","saturday",0,0,"portrait",10,5,12
"54",54,"12-01-2015","3:22","tuesday",0,0,"portrait",9,1,12
"55",55,"11-27-2015","23:34","friday",0,0,"landscape",6,27,11
"56",56,"11-26-2015","20:18","thursday",0,0,"portrait",17,26,11
"57",57,"11-09-2015","21:22","monday",0,0,"landscape",8,9,11
"58",58,"11-08","6:21","sunday",3,1,"portrait",20,8,11
"59",59,"11-08-2015","6:20","sunday",2,1,"portrait",15,8,11
"60",60,"10-31-2015","18:24","saturday",0,0,"portrait",7,31,10
